"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"134","Reelease","A69-9006-5430","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-21 03:07:54,2019-11-21 03:07:54,1
"135","Reelease","A69-9006-5430","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-21 03:07:55,2019-11-21 03:22:16,12
"136","Reelease","A69-9006-5430","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-21 03:22:17,2019-11-21 04:55:57,58
"137","Reelease","A69-9006-5430","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-21 04:55:59,2019-11-21 05:06:45,7
"138","Reelease","A69-9006-5430","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-21 05:06:46,2019-11-21 05:06:46,1
"139","Reelease","A69-9006-5430","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-21 05:09:07,2019-11-21 05:12:11,4
"140","Reelease","A69-9006-5430","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-21 05:12:12,2019-11-21 05:29:33,12
"141","Reelease","A69-9006-5430","Releasesite2","VR2W-135455","55.407583","12.295033",2019-11-21 05:32:44,2019-11-21 06:59:32,29
"142","Reelease","A69-9006-5430","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-21 07:10:14,2019-11-21 07:47:50,5
"143","Reelease","A69-9006-5431","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"144","Reelease","A69-9006-5431","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:18:30,2019-11-20 19:14:39,72
"145","Reelease","A69-9006-5432","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"146","Reelease","A69-9006-5432","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-20 17:14:27,2019-11-20 17:46:56,5
"147","Reelease","A69-9006-5432","Sound7","VR2W-135450","56.0684833","12.6631833",2020-01-12 11:55:10,2020-01-12 12:04:18,5
"148","Reelease","A69-9006-5433","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"149","Reelease","A69-9006-5433","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-20 17:12:53,2019-11-21 06:51:07,241
"150","Reelease","A69-9006-5434","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"151","Reelease","A69-9006-5434","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-20 17:41:55,2019-11-20 17:41:55,1
"152","Reelease","A69-9006-5435","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"153","Reelease","A69-9006-5435","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:06:20,2019-11-20 17:06:20,1
"154","Reelease","A69-9006-5435","Sound6","VR2W-133223","56.05462","12.6503",2019-12-10 18:07:10,2019-12-10 18:07:10,1
"155","Reelease","A69-9006-5436","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"156","Reelease","A69-9006-5436","Releasesite4","VR2W-135454","55.40425","12.304317",2019-11-20 17:18:01,2019-11-20 17:28:21,5
"157","Reelease","A69-9006-5437","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"158","Reelease","A69-9006-5437","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:22:53,2019-11-21 06:45:16,232
"159","Reelease","A69-9006-5437","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-21 09:54:50,2019-11-21 10:05:00,5
"160","Reelease","A69-9006-5438","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"161","Reelease","A69-9006-5438","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-20 17:42:06,2019-11-20 17:42:06,1
