"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m"
"101","Reelease","A69-9006-5421","Releasesite2","VR2W-135455",55.407583,12.295033,2019-11-27 10:52:36,2019-11-27 20:03:57,465,9484,400.075728,0.042184,2490.025705
"102","Reelease","A69-9006-5421","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-27 20:06:13,2019-11-28 06:09:32,695,136,1007.209851,7.405955,3497.235556
"103","Reelease","A69-9006-5421","Releasesite1","VR2W-135451",55.4062,12.291033,2019-11-28 08:39:13,2019-11-28 10:13:12,96,8981,1124.424357,0.1252,4621.659913
"104","Reelease","A69-9006-5421","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-28 10:13:13,2019-11-28 10:54:55,44,1,1124.424357,1124.424357,5746.08427
"105","Reelease","A69-9006-5421","Johnring","VR2W-133213",55.403733,12.29945,2019-11-30 11:26:09,2019-11-30 11:59:41,24,174674,541.506339,0.0031,6287.590609
"106","Reelease","A69-9006-5421","Johnring","VR2W-133213",55.403733,12.29945,2019-11-30 13:48:28,2019-12-02 12:40:07,2915,NA,NA,NA,6287.590609
"107","Reelease","A69-9006-5421","Johnring","VR2W-133213",55.403733,12.29945,2019-12-02 13:55:46,2019-12-03 08:28:32,1329,NA,NA,NA,6287.590609
"108","Reelease","A69-9006-5421","Johnring","VR2W-133213",55.403733,12.29945,2019-12-03 09:44:26,2019-12-04 11:23:20,1532,NA,NA,NA,6287.590609
"109","Reelease","A69-9006-5421","Releasesite5","VR2W-135468",55.402133,12.3056,2019-12-04 12:49:30,2019-12-05 07:43:48,1719,5170,541.506339,0.10474,6829.096948
"110","Reelease","A69-9006-5421","Johnring","VR2W-133213",55.403733,12.29945,2019-12-05 09:38:28,2019-12-09 06:20:59,5276,6880,541.506339,0.078707,7370.603287
"111","Reelease","A69-9006-5421","Johnring","VR2W-133213",55.403733,12.29945,2019-12-09 08:12:15,2019-12-09 13:30:06,280,NA,NA,NA,7370.603287
"112","Reelease","A69-9006-5422","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 12:24:49,2019-11-20 14:50:05,27,NA,NA,NA,0
"113","Reelease","A69-9006-5422","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 16:30:21,2019-11-20 18:01:18,13,NA,NA,NA,0
"114","Reelease","A69-9006-5423","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 12:22:21,2019-11-20 14:55:33,24,NA,NA,NA,0
"115","Reelease","A69-9006-5423","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 16:29:59,2019-11-20 17:20:55,7,NA,NA,NA,0
"116","Reelease","A69-9006-5424","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 12:31:08,2019-11-20 14:50:47,20,NA,NA,NA,0
"117","Reelease","A69-9006-5424","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 17:10:19,2019-11-20 19:12:10,33,NA,NA,NA,0
"118","Reelease","A69-9006-5424","Sound7","VR2W-135450",56.0684833,12.6631833,2020-01-11 15:41:14,2020-01-11 15:53:57,4,4480144,89392.193442,0.019953,89392.193442
"119","Reelease","A69-9006-5424","Sound5","VR2W-103417",56.0622667,12.6413833,2020-01-13 13:35:43,2020-01-13 14:59:12,28,164506,1672.951227,0.01017,91065.144669
"120","Reelease","A69-9006-5425","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 12:24:29,2019-11-20 15:23:24,30,NA,NA,NA,0
"121","Reelease","A69-9006-5425","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 16:28:45,2019-11-20 17:25:26,6,NA,NA,NA,0
"122","Reelease","A69-9006-5425","Sound4","VR2W-108765",56.0587,12.63245,2019-11-27 17:27:25,2019-11-27 17:53:55,10,604919,88696.695036,0.146626,88696.695036
"123","Reelease","A69-9006-5426","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"124","Reelease","A69-9006-5426","Releasesite4","VR2W-135454",55.40425,12.304317,2019-11-20 17:10:32,2019-11-21 06:30:27,231,8732,341.468475,0.039105,341.468475
"125","Reelease","A69-9006-5426","Releasesite5","VR2W-135468",55.402133,12.3056,2019-11-21 08:34:58,2019-11-21 08:47:44,2,7471,282.861222,0.037861,624.329697
"126","Reelease","A69-9006-5427","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"127","Reelease","A69-9006-5427","Releasesite3","VR2W-135452",55.40695,12.3004,2019-11-20 17:20:47,2019-11-20 17:50:45,7,9347,441.413075,0.047225,441.413075
"128","Reelease","A69-9006-5427","Sound5","VR2W-103417",56.0622667,12.6413833,2019-11-30 22:09:01,2019-11-30 22:27:20,9,879496,88589.506909,0.100728,89030.919984
"129","Reelease","A69-9006-5428","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
